name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,rep_nation,nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
부니베어: 나무 도둑의 습격,2017.9.14,"129,228,400",0.0%,"19,267",245,"1,559",중국,중국,예지림엔터테인먼트, 정량,,,,,,, 박상훈, 홍진욱, 윤세웅, 이소은, 임채헌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬립리스: 크리미널 나이트,2017.3.8,"146,025,800",0.0%,"18,740",158,"2,787",미국,미국,(주)미디어로그, 바란 보 오다르,,,,,,, 제이미 폭스, 미셸 모나한, 데이빗 하버, 더모트 멀로니, 가브리엘 유니온,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그 후,2017.7.6,"142,319,508",0.0%,"18,648",168,"2,451",한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다", 로저 컴블,,,,,,, 히어로 파인즈 티핀, 조세핀 랭포드, 딜란 스프로즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오즈의 마법사 2,2017.5.3,"143,173,700",0.0%,"18,535",142,908,멕시코,멕시코,㈜코리아스크린, 알베르토 마르,,,,,,, 마이키 볼트, 젠 맥앨리스터, 엠바이어 칠더스, 릴리아나 발바 마이네크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은혼,2017.12.7,"148,853,500",0.0%,"18,323",137,"2,136",일본,일본,(주)라이크콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신서유기 : 몽키킹의 부활,2017.11.2,"129,357,400",0.0%,"18,247",212,"1,139",중국,중국,예지림엔터테인먼트, 텐 샤오펑,,,,,,, 조연우, 오은수, 신정훈, 박상우, 이민형, 방지원, 성룡, 장뢰, 임자걸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인카네이트,2017.5.25,"142,090,200",0.0%,"18,028",229,"2,095",미국,미국,판씨네마(주), 브래드 페이튼,,,,,,, 아론 에크하트, 데이비드 매주즈, 캐리스 밴 허슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배드 지니어스,2017.11.2,"141,276,336",0.0%,"17,941",200,"1,983",태국,태국,(주)팝엔터테인먼트, 나타우트 폰피리야,,,,,,, 추티몬 추엥차로엔수키잉, 차논 산티네톤쿨, 에이샤 호수완, 티라돈 수파펀핀요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"괜찮아요, 미스터 브래드",2017.9.21,"134,945,900",0.0%,"17,691",135,"1,853",미국,미국,"(주)영화사 진진,(주)누리픽쳐스", 마이크 화이트,,,,,,, 벤 스틸러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산행,2016.7.20,"93,178,283,048",5.3%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 연상호,,,,,,, 공유, 정유미, 마동석, 김수안, 김의성, 최우식, 안소희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검사외전,2016.2.3,"77,320,403,264",4.4%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스, 이일형,,,,,,, 황정민, 강동원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캡틴 아메리카: 시빌 워,2016.4.27,"72,672,111,827",4.2%,"8,677,249","1,991","161,696",미국,미국,월트디즈니컴퍼니코리아(주), 안소니 루소, 조 루소,,,,,, 크리스 에반스, 로버트 다우니 주니어, 스칼릿 조핸슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밀정,2016.9.7,"61,269,783,831",3.5%,"7,500,420","1,444","138,161",한국,"한국,미국",워너브러더스 코리아(주), 김지운,,,,,,, 송강호, 공유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
터널,2016.8.10,"57,529,484,417",3.3%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천상륙작전,2016.7.27,"55,101,410,303",3.2%,"7,049,643","1,049","97,019",한국,한국,(주)씨제이이엔엠, 이재한,,,,,,, 이정재, 이범수, 리암 니슨, 진세연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
럭키,2016.10.13,"56,444,461,256",3.2%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곡성,2016.5.12,"55,863,520,382",3.2%,"6,879,908","1,485","130,322",한국,"한국,미국",이십세기폭스코리아(주), 나홍진,,,,,,, 곽도원, 황정민, 쿠니무라 준, 천우희, 김환희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕혜옹주,2016.8.3,"44,393,828,109",2.5%,"5,599,229",964,"97,312",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 허진호,,,,,,, 손예진, 박해일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닥터 스트레인지,2016.10.26,"47,481,830,396",2.7%,"5,446,239","1,503","162,856",미국,미국,월트디즈니컴퍼니코리아(주), 스콧 데릭슨,,,,,,, 베네딕트 컴버배치, 레이첼 맥아담스, 틸다 스윈튼, 매즈 미켈슨, 치웨텔 에지오포,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마스터,2016.12.21,"39,784,641,065",2.3%,"4,935,320","1,501","70,786",한국,한국,(주)씨제이이엔엠, 조의석,,,,,,, 이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주토피아,2016.2.17,"37,096,057,742",2.1%,"4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주), 바이론 하워드, 리치 무어,,,,,, 지니퍼 굿윈, 제이슨 베이트먼, 샤키라, 이드리스 엘바, 알란 터딕, J.K. 시몬스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신비한 동물사전,2016.11.16,"39,300,515,858",2.3%,"4,662,534","1,431","115,676",미국,"미국,영국",워너브러더스 코리아(주), 데이빗 예이츠,,,,,,, 에디 레드메인, 조니 뎁, 캐서린 워터스턴, 주드 로, 에즈라 밀러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
판도라,2016.12.7,"33,955,398,164",1.9%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아가씨,2016.6.1,"35,211,229,991",2.0%,"4,287,839","1,171","90,365",한국,한국,(주)씨제이이엔엠, 오즈 야스지로,,,,,,, 쿠리시마 스미코, 오카다 토키히코,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쿵푸팬더3,2016.1.28,"31,340,798,156",1.8%,"3,984,812","1,365","97,404",미국,미국,(주)씨제이이엔엠, 여인영, 알레산드로 칼로니,,,,,, 잭 블랙, 안젤리나 졸리, 더스틴 호프만, 성룡, 세스 로건, 루시 리우, 데이빗 크로스, J.K. 시몬스, 케이트 허드슨, 제임스 홍, 브라이언 크랜스톤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
귀향,2016.2.24,"27,249,738,990",1.6%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스, 할 애쉬비,,,,,,, 제인 폰다, 존 보이트, 브루스 던, 페네로피 밀포드, 로버트 캐러딘, 로버트 진티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데드풀,2016.2.17,"27,595,618,651",1.6%,"3,317,196","1,036","82,521",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 데이빗 레이치,,,,,,, 라이언 레이놀즈, 프레드 세비지, 조슈 브롤린, 재지 비츠, 모레나 바카린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나우 유 씨 미 2,2016.7.13,"25,116,690,113",1.4%,"3,100,113","1,200","56,981",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 존 추,,,,,,, 제시 아이젠버그, 마크 러팔로, 우디 해럴슨, 데이브 프랭코, 리지 캐플란,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
형,2016.11.23,"23,113,768,293",1.3%,"2,979,659",993,"83,518",한국,한국,(주)씨제이이엔엠, 권수경,,,,,,, 조정석, 디오, 박신혜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엑스맨: 아포칼립스,2016.5.25,"24,467,887,950",1.4%,"2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주), 브라이언 싱어,,,,,,, 제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스, 오스카 아이삭, 니콜라스 홀트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586",1.3%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주), 팀 버튼,,,,,,, 에바 그린, 에이사 버터필드, 사무엘 L. 잭슨, 앨리슨 제니, 엘라 퍼넬, 주디 덴치, 킴 딕켄스, 크리스 오다우드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
히말라야,2015.12.16,"20,705,587,567",1.2%,"2,630,352",955,"61,673",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이슨 본,2016.7.27,"21,253,434,663",1.2%,"2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 폴 그린그래스,,,,,,, 맷 데이먼, 알리시아 비칸데르, 뱅상 카셀, 줄리아 스타일스, 토미 리 존스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도리를 찾아서,2016.7.6,"20,703,899,933",1.2%,"2,601,734","1,091","55,110",미국,미국,월트디즈니컴퍼니코리아(주), 앤드류 스탠튼,,,,,,, 엘런 드제너러스, 앨버트 브룩스, 에드 오닐, 케이틀린 올슨, 헤이든 롤렌스, 이드리스 엘바, 도미닉 웨스트, 다이안 키튼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아수라,2016.9.28,"20,576,226,662",1.2%,"2,594,028","1,278","68,040",한국,한국,(주)씨제이이엔엠, 김성수,,,,,,, 정우성, 황정민, 주지훈, 곽도원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정글북,2016.6.9,"21,517,647,134",1.2%,"2,537,438",924,"59,041",미국,미국,월트디즈니컴퍼니코리아(주), 타파스 차크라바르티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마이펫의 이중생활,2016.8.3,"19,406,436,655",1.1%,"2,520,670",726,"39,653",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 크리스 리노드,,,,,,, 패튼 오스왈트, 케빈 하트, 제니 슬레이트, 에릭 스톤스트릿, 티파니 해디쉬, 레이크 벨, 해리슨 포드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라라랜드,2016.12.7,"19,996,139,232",1.1%,"2,385,108",727,"56,408",미국,미국,판씨네마(주), 데이미언 셔젤,,,,,,, 라이언 고슬링, 엠마 스톤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,906,246,428",1.1%,"2,256,913","1,709","95,669",미국,미국,워너브러더스 코리아(주), 잭 스나이더,,,,,,, 헨리 카빌, 벤 애플렉, 에이미 아담스, 로렌스 피시번, 제시 아이젠버그, 제레미 아이언스, 홀리 헌터, 갤 가돗, 로렌 코핸, 제프리 딘 모건, 제이슨 모모아, 에즈라 밀러, 다이안 레인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
굿바이 싱글,2016.6.29,"16,912,706,195",1.0%,"2,108,273",841,"56,380",한국,한국,(주)쇼박스, 김태곤,,,,,,, 김혜수, 마동석, 김현수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉이 김선달,2016.7.6,"16,227,052,642",0.9%,"2,051,277",942,"51,418",한국,한국,(주)씨제이이엔엠, 박대민,,,,,,, 유승호, 조재현, 고창석, 라미란, 시우민,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,360,130",0.9%,"2,007,188",967,"55,063",미국,미국,이십세기폭스코리아(주), 알레한드로 곤잘레스 이냐리투,,,,,,, 레오나르도 디카프리오, 톰 하디, 도널 글리슨, 윌 폴터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨저링 2,2016.6.9,"15,759,374,229",0.9%,"1,928,605",640,"45,816",미국,미국,워너브러더스 코리아(주), 제임스 완,,,,,,, 베라 파미가, 패트릭 윌슨, 프란카 포텐테, 프란시스 오코너, 매디슨 울프, 스털링 제린스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내부자들: 디 오리지널,2015.12.31,"15,742,927,260",0.9%,"1,924,720",838,"45,697",한국,한국,(주)쇼박스, 우민호,,,,,,, 이병헌, 조승우, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수어사이드 스쿼드,2016.8.3,"15,874,111,188",0.9%,"1,898,220",823,"29,512",미국,미국,워너브러더스 코리아(주), 제임스 건,,,,,,, 마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론, 비올라 데이비스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인디펜던스 데이 : 리써전스,2016.6.22,"12,770,879,840",0.7%,"1,500,830",926,"47,432",미국,미국,이십세기폭스코리아(주), 롤랜드 에머리히,,,,,,, 빌 풀만, 리암 헴스워스, 제프 골드브럼, 비비카 A. 폭스, 제시 어셔, 조이 킹, 마이카 먼로, 샤를로뜨 갱스부르, 윌리암 피츠너,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845",0.7%,"1,430,885",764,"41,076",한국,한국,(주)씨제이이엔엠, 조성희,,,,,,, 이제훈, 김성균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벤허,2016.9.14,"11,410,860,395",0.7%,"1,400,301",717,"38,941",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 마크 앳킨스,,,,,,, 에드리언 보쳇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
굿 다이노,2016.1.7,"9,756,167,238",0.6%,"1,328,913",814,"33,127",미국,미국,월트디즈니컴퍼니코리아(주), 피터 손,,,,,,, 레이몬드 오초아, 제프리 라이트, 프란시스 맥도맨드, 스티브 잔, 잭 브라이트, AJ 버클리, 안나 파킨, 샘 엘리어트, 마커스 스크리브너, 데이비드 보트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셜록: 유령신부,2016.1.2,"9,992,425,049",0.6%,"1,278,894",891,"32,683",영국,영국,메가박스중앙(주)플러스엠, 더글러스 맥키넌,,,,,,, 베네딕트 컴버배치, 마틴 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
특별수사: 사형수의 편지,2016.6.16,"9,929,947,065",0.6%,"1,241,899",691,"39,372",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 권종관,,,,,,, 김명민, 김상호, 성동일, 김영애, 김향기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시간이탈자,2016.4.13,"9,731,838,195",0.6%,"1,202,384",733,"55,075",한국,한국,(주)씨제이이엔엠, 곽재용,,,,,,, 임수정, 조정석, 이진욱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동주,2016.2.17,"8,889,077,089",0.5%,"1,172,641",543,"39,958",한국,한국,메가박스중앙(주)플러스엠, 이준익,,,,,,, 강하늘, 박정민, 김인우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
워크래프트: 전쟁의 서막,2016.6.9,"10,142,271,205",0.6%,"1,163,274",736,"34,087",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 던칸 존스,,,,,,, 트래비스 핌멜, 벤 포스터, 폴라 패튼, 도미닉 쿠퍼, 클랜시 브라운, 토비 켑벨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스타트렉 비욘드,2016.8.17,"10,190,375,820",0.6%,"1,157,156",716,"38,199",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 저스틴 린,,,,,,, 크리스 파인, 사이먼 페그, 조 샐다나, 재커리 퀸토, 칼 어번, 안톤 옐친, 존 조, 이드리스 엘바, 소피아 부텔라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미씽: 사라진 여자,2016.11.30,"8,881,616,256",0.5%,"1,153,109",790,"40,617",한국,한국,메가박스중앙(주)플러스엠, 이언희,,,,,,, 엄지원, 공효진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248",0.5%,"1,124,815",767,"39,181",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 홍지영,,,,,,, 김윤석, 변요한, 채서진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이트 아웃,2016.8.24,"8,893,059,975",0.5%,"1,111,284",659,"34,444",미국,미국,워너브러더스 코리아(주), 데이비드 F. 샌드버그,,,,,,, 테레사 팔머, 앨리시아 벨라 베일리, 가브리엘 베이트먼, 알렉산더 디퍼시아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오빠생각,2016.1.21,"8,060,591,287",0.5%,"1,069,864",855,"44,801",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이한,,,,,,, 임시완, 고아성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"날, 보러와요",2016.4.7,"8,836,144,063",0.5%,"1,063,442",683,"49,237",한국,한국,메가박스중앙(주)플러스엠, 이철하,,,,,,, 강예원, 이상윤, 최진호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씽,2016.12.21,"8,203,857,789",0.5%,"1,063,175",795,"19,645",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 가스 제닝스,,,,,,, 매튜 맥커너히, 리즈 위더스푼, 스칼릿 조핸슨, 태런 에저튼, 토리 켈리, 닉 크롤, 세스 맥팔레인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맨 인 더 다크,2016.10.5,"8,480,368,672",0.5%,"1,003,406",671,"40,136",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 알렉산더 샤프,,,,,,, 나탈리 샤프, 블레이크 스타델,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"고산자, 대동여지도",2016.9.7,"7,801,007,258",0.4%,"974,262",765,"38,048",한국,한국,(주)씨제이이엔엠, 강우석,,,,,,, 차승원, 유준상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미 비포 유,2016.6.1,"7,663,772,990",0.4%,"945,172",481,"28,458",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매그니피센트 7,2016.9.14,"7,633,490,421",0.4%,"921,317",579,"27,648",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 안톤 후쿠아,,,,,,, 덴젤 워싱턴, 크리스 프랫, 이병헌, 에단 호크, 맷 보머, 빈센트 도노프리오, 헤일리 베넷, 캠 지갠뎃, 피터 사스가드, 비니 존스, 마누엘 가르시아 룰포, 마틴 센스마이어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갓 오브 이집트,2016.3.3,"7,621,291,624",0.4%,"919,834",618,"35,323",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트", 알렉스 프로야스,,,,,,, 제라드 버틀러, 니콜라이 코스터 왈도, 브렌튼 스웨이츠, 제프리 러쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레전드 오브 타잔,2016.6.29,"7,196,970,717",0.4%,"858,402",593,"28,021",미국,미국,워너브러더스 코리아(주), 데이빗 예이츠,,,,,,, 알렉산더 스카스가드, 사무엘 L. 잭슨, 마고 로비, 디몬 하운수, 크리스토프 왈츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좋아해줘,2016.2.17,"6,572,774,337",0.4%,"848,148",637,"27,125",한국,한국,(주)씨제이이엔엠, 박현진,,,,,,, 이미연, 최지우, 김주혁, 유아인, 강하늘, 이솜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브리짓 존스의 베이비,2016.9.28,"6,678,585,874",0.4%,"820,995",509,"30,736",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 샤론 맥과이어,,,,,,, 르네 젤위거, 콜린 퍼스, 패트릭 뎀시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스플릿,2016.11.9,"6,102,712,539",0.4%,"758,195",702,"32,616",한국,한국,오퍼스픽쳐스(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
런던 해즈 폴른,2016.3.10,"5,908,367,979",0.3%,"731,584",526,"37,569",미국,"미국,영국",메가박스중앙(주)플러스엠, 바박 나자피,,,,,,, 제라드 버틀러, 아론 에크하트, 모건 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국가대표 2,2016.8.10,"5,482,232,042",0.3%,"709,929",562,"20,689",한국,한국,메가박스중앙(주)플러스엠, 김종현,,,,,,, 수애, 오달수, 오연서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인페르노,2016.10.19,"5,656,281,303",0.3%,"689,071",754,"31,809",미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유), 론 하워드,,,,,,, 톰 행크스, 펠리시티 존스, 벤 포스터, 이르판 칸, 오마 사이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앵그리버드 더 무비,2016.5.19,"5,218,111,744",0.3%,"680,606",661,"15,812",미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유), 서럽 밴 오먼,,,,,,, 제이슨 서디키스, 조시 게드, 대니 맥브라이드, 피터 딘클리지, 아콰피나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그날의 분위기,2016.1.14,"5,149,571,612",0.3%,"653,287",592,"27,186",한국,한국,(주)쇼박스, 조규장,,,,,,, 문채원, 유연석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사냥,2016.6.29,"4,912,658,515",0.3%,"645,922",696,"28,862",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
널 기다리며,2016.3.10,"5,234,303,336",0.3%,"635,235",551,"33,774",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 모홍진,,,,,,, 심은경, 윤제문, 김성오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
설리: 허드슨강의 기적,2016.9.28,"5,234,170,754",0.3%,"627,102",573,"26,609",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잭 리처: 네버 고 백,2016.11.30,"4,638,072,258",0.3%,"611,097",667,"23,659",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 에드워드 즈윅,,,,,,, 톰 크루즈, 코비 스멀더스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로그 원: 스타워즈 스토리,2016.12.28,"5,127,537,094",0.3%,"596,487",907,"15,441",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 가렛 에드워즈,,,,,,, 펠리시티 존스, 디에고 루나, 매즈 미켈슨, 리즈 아메드, 포레스트 휘태커, 견자단, 강문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
싱 스트리트,2016.5.19,"4,489,637,672",0.3%,"560,790",494,"22,825",아일랜드,"아일랜드,영국,미국",(주)이수C&E, 존 카니,,,,,,, 페리다 월시-필로, 루시 보인턴, 잭 레이너, 마크 맥케나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이스 에이지: 지구 대충돌,2016.7.20,"4,092,484,600",0.2%,"553,760",580,"13,018",미국,미국,이십세기폭스코리아(주), 마이크 트메이어,,,,,,, 존 레귀자모, 레이 로마노, 제니퍼 로페즈, 아담 드바인, 제시 테일러 퍼거슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 호텔 2,2015.12.24,"4,059,258,691",0.2%,"552,334",637,"13,162",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 젠디 타타코브스키,,,,,,, 아담 샌들러, 셀레나 고메즈, 케빈 제임스, 스티브 부세미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메카닉: 리크루트,2016.8.31,"4,458,200,800",0.3%,"551,897",320,"17,497",미국,"미국,프랑스",(주)제이앤씨미디어그룹, 데니스 간젤,,,,,,, 제이슨 스타뎀, 제시카 알바, 토미 리 존스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고스트버스터즈,2016.8.25,"4,116,570,075",0.2%,"515,553",511,"18,026",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 폴 페이그,,,,,,, 멜리사 맥카시, 크리스틴 위그, 케이트 맥키넌, 레슬리 존스, 크리스 헴스워스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
